drink,ingredient_number,ingredient,measure,category
Hemingway Special,3,maraschino liqueur,3 parts,liqueur
Hemingway Special,4,lime juice,3 parts,juice
Herbal flame,1,hot damn,5 shots,other
Herbal flame,2,tea,very sweet,other
Highland Fling Cocktail,1,scotch,1 1/2 oz,other
Highland Fling Cocktail,2,sweet vermouth,3/4 oz,other
Highland Fling Cocktail,3,orange bitters,2 dashes,other
Highland Fling Cocktail,4,olive,1,other
Holloween Punch,1,grape juice,"
",juice
Holloween Punch,2,carbonated soft drink,", orange
",other
Homemade Kahlua,1,sugar,2 1/2 cups,other
Homemade Kahlua,2,corn syrup,1 cup,syrup
Homemade Kahlua,3,coffee,1 1/2 oz instant,other
Homemade Kahlua,4,vanilla extract,2 oz,other
Homemade Kahlua,5,water,3 cups boiling,other
Homemade Kahlua,6,vodka,1 fifth,vodka
Horse's Neck,1,lemon peel,1 long strip,other
Horse's Neck,2,brandy,2 oz,brandy
Horse's Neck,3,ginger ale,5 oz,other
Horse's Neck,4,bitters,2 dashes,other
Hot Chocolate to Die for,1,chocolate,12 oz fine,chocolate
Hot Chocolate to Die for,2,butter,1 tsp,other
Hot Chocolate to Die for,3,vanilla extract,1/2 tsp,other
Hot Chocolate to Die for,4,half-and-half,1 cup,other
Hot Chocolate to Die for,5,marshmallows,mini,other
Hot Creamy Bush,1,irish whiskey,1 shot,other
Hot Creamy Bush,2,irish cream,3/4 shot,cream
Hot Creamy Bush,3,coffee,6 oz hot,other
Ice Pick #1,1,vodka,1 1/2 oz,vodka
Ice Pick #1,2,iced tea,6 oz,other
Ice Pick #1,3,lemon juice,"to taste
",juice
Iced Coffee,1,coffee,1/4 cup instant,other
Iced Coffee,2,sugar,1/4 cup,other
Iced Coffee,3,water,1/4 cup hot,other
Iced Coffee,4,milk,4 cups cold,other
Iced Coffee Fillip,1,kahlua,2 tsp,other
Iced Coffee Fillip,2,coffee,Strong cold,other
Imperial Cocktail,1,lime juice,4 cl,juice
Imperial Cocktail,2,gin,2 cl,other
Imperial Cocktail,3,aperol,4 cl,other
Imperial Fizz,1,light rum,1/2 oz,rum
Imperial Fizz,2,blended whiskey,1 1/2 oz,other
Imperial Fizz,3,lemon,Juice of 1/2,other
Imperial Fizz,4,powdered sugar,1 tsp,other
Imperial Fizz,5,carbonated water,"
",other
Ipamena,1,lime,½,other
Ipamena,2,brown sugar,2 tsp,other
Ipamena,3,passion fruit juice,4 cl,juice
Ipamena,4,ginger ale,top up with,other
Ipamena,5,ice,fill,other
Irish Coffee,1,irish whiskey,1 1/2 oz,other
Irish Coffee,2,coffee,8 oz,other
Irish Coffee,3,sugar,1 tsp,other
Irish Coffee,4,whipped cream,1 tblsp,cream
Irish Cream,1,scotch,1 cup,other
Irish Cream,2,half-and-half,1 1/4 cup,other
Irish Cream,3,condensed milk,1 can sweetened,other
Irish Cream,4,coconut syrup,3 drops,syrup
Irish Cream,5,chocolate syrup,1 tblsp,syrup
Irish Curdling Cow,1,irish cream,3/4 oz,cream
Irish Curdling Cow,2,bourbon,3/4 oz,other
Irish Curdling Cow,3,vodka,3/4 oz,vodka
Irish Curdling Cow,4,orange juice,2-3 oz,juice
Irish Russian,1,vodka,1 shot,vodka
Irish Russian,2,kahlua,1 shot,other
Irish Russian,3,coca-cola,1 dash,other
Irish Russian,4,guinness stout,Fill with,other
Irish Spring,1,irish whiskey,1 oz,other
Irish Spring,2,peach brandy,1/2 oz,brandy
Irish Spring,3,orange juice,1 oz,juice
Irish Spring,4,sweet and sour,1 oz,other
Irish Spring,5,orange,1 slice,other
Irish Spring,6,cherry,1,other
Jack Rose Cocktail,1,apple brandy,1 1/2 oz,brandy
Jack Rose Cocktail,2,grenadine,1 tsp,other
Jack Rose Cocktail,3,lime,Juice of 1/2,other
Jack's Vanilla Coke,1,ice,4-5,other
Jack's Vanilla Coke,2,tennessee whiskey,2 oz,other
Jack's Vanilla Coke,3,vanilla extract,1 tsp,other
Jack's Vanilla Coke,4,coca-cola,10-12 oz,other
Jackhammer,1,jack daniels,1 oz,other
Jackhammer,2,amaretto,1 oz,other
Jam Donut,1,irish cream,2/3 oz,cream
Jam Donut,2,raspberry liqueur,1/3 oz,liqueur
Jam Donut,3,sugar syrup,1 tsp,syrup
Jam Donut,4,sugar,2 pinches,other
Jamaica Kiss,1,coffee liqueur,1 shot,liqueur
Jamaica Kiss,2,light rum,1 shot Jamaican,rum
Jamaica Kiss,3,ice,"cubes
",other
Jamaica Kiss,4,milk,"
",other
Jamaican Coffee,1,rum,1/6 glass,rum
Jamaican Coffee,2,coffee,1/6 glass strong black,other
Jamaican Coffee,3,water,1/2 glass cold,other
Jamaican Coffee,4,whipped cream,"
",cream
Japanese Fizz,1,blended whiskey,1 1/2 oz,other
Japanese Fizz,2,lemon,Juice of 1/2,other
Japanese Fizz,3,powdered sugar,1 tsp,other
Japanese Fizz,4,port,1 tblsp,other
Japanese Fizz,5,egg white,1,other
Japanese Fizz,6,carbonated water,"
",other
Jello shots,1,vodka,2 cups,vodka
Jello shots,2,jello,3 packages,other
Jello shots,3,water,3 cups,other
Jelly Bean,1,blackberry brandy,1 oz,brandy
Jelly Bean,2,anis,1 oz,other
Jewel Of The Nile,1,gin,1 1/2 oz,other
Jewel Of The Nile,2,green chartreuse,1/2 oz,other
Jewel Of The Nile,3,yellow chartreuse,1/2 oz,other
Jitterbug,1,gin,2 jiggers,other
Jitterbug,2,vodka,1 jigger,vodka
Jitterbug,3,grenadine,3 dashes,other
Jitterbug,4,lime juice,1 shot,juice
Jitterbug,5,sugar,Around rim put 1 pinch,other
Jitterbug,6,sugar syrup,3 dashes,syrup
Jitterbug,7,soda water,Fill to top with,other
John Collins,1,bourbon,2 oz,other
John Collins,2,lemon juice,1 oz,juice
John Collins,3,sugar,1 tsp superfine,other
John Collins,4,club soda,3 oz,other
John Collins,5,maraschino cherry,1,other
John Collins,6,orange,1,other
Just a Moonmint,1,milk,2 cups,other
Just a Moonmint,2,chocolate syrup,"
",syrup
Just a Moonmint,3,mint syrup,"
",syrup
Kamikaze,1,vodka,1 oz,vodka
Kamikaze,2,triple sec,1 oz,other
Kamikaze,3,lime juice,1 oz,juice
Karsk,1,coffee,1 part,other
Karsk,2,grain alcohol,2 parts,other
Kentucky B And B,1,bourbon,2 oz,other
Kentucky B And B,2,benedictine,1/2 oz,other
Kentucky Colonel,1,bourbon,3 oz,other
Kentucky Colonel,2,benedictine,1/2 oz,other
Kentucky Colonel,3,lemon peel,1 twist of,other
Kill the cold Smoothie,1,ginger,1 inch,other
Kill the cold Smoothie,2,lemon,1/4,other
Kill the cold Smoothie,3,water,1 cup hot,other
Kioki Coffee,1,kahlua,1 oz,other
Kioki Coffee,2,brandy,1/2 oz,brandy
Kioki Coffee,3,coffee,"
",other
Kir,1,creme de cassis,1 part,other
Kir,2,champagne,5 parts,other
Kir Royale,1,creme de cassis,1 part,other
Kir Royale,2,champagne,5 parts,other
Kiss me Quick,1,cranberry vodka,4 cl,vodka
Kiss me Quick,2,apfelkorn,2 cl,other
Kiss me Quick,3,schweppes russchian,7 cl,other
Kiss me Quick,4,apple juice,8 cl,juice
Kiss me Quick,5,ice,"cubes
",other
Kiwi Lemon,1,kiwi liqueur,1 part,liqueur
Kiwi Lemon,2,bitter lemon,2 parts,other
Kiwi Lemon,3,ice,"cubes
",other
Kiwi Papaya Smoothie,1,kiwi,3,other
Kiwi Papaya Smoothie,2,papaya,1/2,other
Kool First Aid,1,151 proof rum,2 oz light,rum
Kool First Aid,2,kool-aid,1/2 tsp Tropical,other
Kool-Aid Shot,1,vodka,1 shot,vodka
Kool-Aid Shot,2,amaretto,1 shot,other
Kool-Aid Shot,3,sloe gin,1 shot,other
Kool-Aid Shot,4,triple sec,1 shot,other
Kool-Aid Shot,5,cranberry juice,"
",juice
Kool-Aid Slammer,1,kool-aid,1/2 oz Grape,other
Kool-Aid Slammer,2,vodka,1/2 oz,vodka
Kurant Tea,1,absolut kurant,4 cl,other
Kurant Tea,2,tea,Turkish apple,other
Kurant Tea,3,sugar,"(if needed)
",other
Lady Love Fizz,1,gin,2 oz,other
Lady Love Fizz,2,light cream,2 tsp,cream
Lady Love Fizz,3,powdered sugar,1 tsp,other
Lady Love Fizz,4,lemon,Juice of 1/2,other
Lady Love Fizz,5,egg white,1,other
Lady Love Fizz,6,carbonated water,"
",other
Lassi - A South Indian Drink,1,yoghurt,1/2 cup plain,other
Lassi - A South Indian Drink,2,water,1 1/4 cup cold,other
Lassi - A South Indian Drink,3,cumin seed,1/2 tsp ground roasted,other
Lassi - A South Indian Drink,4,salt,1/4 tsp,other
Lassi - A South Indian Drink,5,mint,1/4 tsp dried,other
Lassi - Mango,1,mango,2,other
Lassi - Mango,2,yoghurt,2 cups,other
Lassi - Mango,3,sugar,1/2 cup,other
Lassi - Mango,4,water,1 cup iced,other
Lassi - Sweet,1,yoghurt,1 cup,other
Lassi - Sweet,2,water,2 cups cold,other
Lassi - Sweet,3,sugar,4 tblsp,other
Lassi - Sweet,4,salt,pinch,other
Lassi - Sweet,5,lemon juice,2 tblsp,juice
Lassi Khara,1,yoghurt,1 cup,other
Lassi Khara,2,water,2 cups cold,other
Lassi Khara,3,salt,1 tsp,other
Lassi Khara,4,asafoetida,1 pinch,other
Lassi Raita,1,yoghurt,2 cups,other
Lassi Raita,2,ice,4-6,other
Lassi Raita,3,sugar,"
",other
Lassi Raita,4,lime,"
",other
Lassi Raita,5,salt,"
",other
Lemon Drop,1,absolut vodka,1 1/2 shot,vodka
Lemon Drop,2,cointreau,1 1/2 shot,other
Lemon Drop,3,lemon,Juice of 1 wedge,other
Lemon Shot,1,galliano,1/2 oz,other
Lemon Shot,2,absolut citron,1/2 oz,other
Lemon Shot,3,lemon,"wedge
",other
Lemon Shot,4,sugar,Bacardi,other
Lemouroudji,1,ginger,2 pieces,other
Lemouroudji,2,water,1 gal,other
Lemouroudji,3,lemon,1 lb,other
Lemouroudji,4,sugar,1 cup,other
Lemouroudji,5,cayenne pepper,ground,other
Limeade,1,lime,Juice of 1,other
Limeade,2,sugar,1 tblsp,other
Limeade,3,soda water,"(seltzer water)
",other
Limona Corona,1,corona,1 bottle,other
Limona Corona,2,bacardi limon,1 oz,other
Loch Lomond,1,scotch,2 oz,other
Loch Lomond,2,drambuie,1/2 oz,other
Loch Lomond,3,dry vermouth,1/2 oz,other
Loch Lomond,4,lemon peel,1 twist of,other
London Town,1,gin,1 1/2 oz,other
London Town,2,maraschino liqueur,1/2 oz,liqueur
London Town,3,orange bitters,2 dashes,other
Lone Tree Cocktail,1,sweet vermouth,3/4 oz,other
Lone Tree Cocktail,2,gin,1 1/2 oz,other
Lone Tree Cooler,1,carbonated water,"
",other
Lone Tree Cooler,2,gin,"
",other
Lone Tree Cooler,3,dry vermouth,"
",other
Lone Tree Cooler,4,powdered sugar,"
",other
Lone Tree Cooler,5,orange spiral,"
",other
Lone Tree Cooler,6,lemon peel,"
",other
Long Island Iced Tea,1,vodka,1/2 oz,vodka
Long Island Iced Tea,2,tequila,1/2 oz,other
Long Island Iced Tea,3,light rum,1/2 oz,rum
Long Island Iced Tea,4,gin,1/2 oz,other
Long Island Iced Tea,5,coca-cola,1 dash,other
Long Island Iced Tea,6,lemon peel,Twist of,other
Long Island Tea,1,vodka,1/2 oz,vodka
Long Island Tea,2,light rum,1/2 oz,rum
Long Island Tea,3,gin,1/2 oz,other
Long Island Tea,4,tequila,1/2 oz,other
Long Island Tea,5,lemon,Juice of 1/2,other
Long Island Tea,6,coca-cola,1 splash,other
Long vodka,1,vodka,5 cl,vodka
Long vodka,2,lime,1/2,other
Long vodka,3,angostura bitters,4 dashes,other
Long vodka,4,tonic water,1 dl Schweppes,other
Long vodka,5,ice,4,other
Lord And Lady,1,dark rum,1 1/2 oz,rum
Lord And Lady,2,tia maria,1/2 oz,other
Lunch Box,1,beer,3/4 bottle,other
Lunch Box,2,amaretto,1 shot,other
Lunch Box,3,orange juice,1 oz,juice
Mai Tai,1,light rum,1 oz,rum
Mai Tai,2,orgeat syrup,1/2 oz,syrup
Mai Tai,3,triple sec,1/2 oz,other
Mai Tai,4,sweet and sour,1 1/2 oz,other
Mai Tai,5,cherry,1,other
Malibu Twister,1,malibu rum,2 parts,rum
Malibu Twister,2,tropicana,2 parts,other
Malibu Twister,3,cranberry juice,1 part,juice
Mango Orange Smoothie,1,mango,1,other
Mango Orange Smoothie,2,orange,2,other
Manhattan,1,sweet vermouth,3/4 oz,other
Manhattan,2,bourbon,2 1/2 oz Blended,other
Manhattan,3,angostura bitters,dash,other
Manhattan,4,ice,2 or 3,other
Manhattan,5,maraschino cherry,1,other
Manhattan,6,orange peel,1 twist of,other
Margarita,1,tequila,1 1/2 oz,other
Margarita,2,triple sec,1/2 oz,other
Margarita,3,lime juice,1 oz,juice
Martinez Cocktail,1,gin,1 oz,other
Martinez Cocktail,2,dry vermouth,1 oz,other
Martinez Cocktail,3,triple sec,1/4 tsp,other
Martinez Cocktail,4,orange bitters,1 dash,other
Martinez Cocktail,5,cherry,1,other
Martini,1,gin,1 2/3 oz,other
Martini,2,dry vermouth,1/3 oz,other
Martini,3,olive,1,other
Mary Pickford,1,light rum,1 1/2 oz,rum
Mary Pickford,2,pineapple juice,1 oz,juice
Mary Pickford,3,maraschino liqueur,1/2 tsp,liqueur
Mary Pickford,4,grenadine,1/2 tsp,other
Mary Pickford,5,maraschino cherry,1,other
Masala Chai,1,water,2 cups,other
Masala Chai,2,tea,3-4 tsp,other
Masala Chai,3,ginger,1 chunk dried,other
Masala Chai,4,cardamom,3-4 crushed,other
Masala Chai,5,cloves,3,other
Masala Chai,6,cinnamon,1 piece,other
Masala Chai,7,black pepper,1-2 whole,other
Masala Chai,8,sugar,"to taste
",other
Melya,1,espresso,"
",other
Melya,2,honey,Unsweetened,other
Miami Vice,1,151 proof rum,5 oz Bacardi,rum
Miami Vice,2,pina colada mix,frozen,other
Miami Vice,3,daiquiri mix,frozen,other
Microwave Hot Cocoa,1,sugar,5 tblsp,other
Microwave Hot Cocoa,2,cocoa powder,3 tblsp,other
Microwave Hot Cocoa,3,salt,1 dash,other
Microwave Hot Cocoa,4,water,3 tblsp hot,other
Microwave Hot Cocoa,5,milk,2 cups,other
Microwave Hot Cocoa,6,vanilla extract,1/4 tsp,other
Midnight Cowboy,1,bourbon,2 oz,other
Midnight Cowboy,2,dark rum,1 oz,rum
Midnight Cowboy,3,heavy cream,1/2 oz,cream
Midnight Manx,1,kahlua,1 oz,other
Midnight Manx,2,irish cream,1 oz,cream
Midnight Manx,3,goldschlager,dash,other
Midnight Manx,4,heavy cream,2 oz,cream
Midnight Manx,5,coffee,2 oz Hazlenut,other
Midnight Mint,1,irish cream,1 oz,cream
Midnight Mint,2,white creme de menthe,3/4 oz,other
Midnight Mint,3,cream,3/4 oz double,cream
Mimosa,1,champagne,Chilled,other
Mimosa,2,orange juice,2 oz,juice
Mississippi Planters Punch,1,brandy,1 oz,brandy
Mississippi Planters Punch,2,light rum,1/2 oz,rum
Mississippi Planters Punch,3,bourbon,1/2 oz,other
Mississippi Planters Punch,4,lemon,Juice of 1/2,other
Mississippi Planters Punch,5,powdered sugar,1 tblsp,other
Mississippi Planters Punch,6,carbonated water,"
",other
Mocha-Berry,1,coffee,6 oz,other
Mocha-Berry,2,raspberry liqueur,2 oz,liqueur
Mocha-Berry,3,cocoa powder,2 tblsp,other
Mocha-Berry,4,whipped cream,"
",cream
Mojito,1,light rum,2-3 oz,rum
Mojito,2,lime,Juice of 1,other
Mojito,3,sugar,2 tsp,other
Mojito,4,mint,2-4,other
Mojito #3,1,mint,1/2 handful,other
Mojito #3,2,lemon juice,3 cl,juice
Mojito #3,3,dark rum,1/8 L Jamaican,rum
Mojito #3,4,club soda,1/8 L,other
Mojito #3,5,angostura bitters,8 drops,other
Monkey Gland,1,gin,2 oz,other
Monkey Gland,2,benedictine,1 tsp,other
Monkey Gland,3,orange juice,1/2 oz,juice
Monkey Gland,4,grenadine,1 tsp,other
Monkey Wrench,1,light rum,1 1/2 oz,rum
Monkey Wrench,2,grapefruit juice,3 oz,juice
Monkey Wrench,3,bitters,1 dash,other
Moranguito,1,absinthe,2/5,other
Moranguito,2,tequila,2/5,other
Moranguito,3,grenadine,1/5,other
Moscow Mule,1,vodka,2 oz,vodka
Moscow Mule,2,lime juice,2 oz,juice
Moscow Mule,3,ginger ale,8 oz,other
Mother's Milk,1,goldschlager,1 oz,other
Mother's Milk,2,butterscotch schnapps,1 oz,schnapps
Mother's Milk,3,milk,1 oz,other
Mudslinger,1,southern comfort,750 ml,other
Mudslinger,2,orange juice,1 L,juice
Mudslinger,3,pepsi cola,750 ml,other
Mulled Wine,1,water,3 cups,other
Mulled Wine,2,sugar,1 cup,other
Mulled Wine,3,cloves,12,other
Mulled Wine,4,cinnamon,2,other
Mulled Wine,5,lemon peel,1,other
Mulled Wine,6,red wine,750 ml,other
Mulled Wine,7,brandy,1/4 cup,brandy
National Aquarium,1,rum,1/2 oz,rum
National Aquarium,2,vodka,1/2 oz,vodka
National Aquarium,3,gin,1/2 oz,other
National Aquarium,4,blue curacao,1/2 oz,other
National Aquarium,5,sour mix,2 oz,other
National Aquarium,6,lemon-lime soda,1 splash,other
Negroni,1,gin,1 oz,other
Negroni,2,campari,1 oz,other
Negroni,3,sweet vermouth,1 oz,other
New York Lemonade,1,absolut citron,2 oz,other
New York Lemonade,2,grand marnier,1 oz,other
New York Lemonade,3,lemon juice,2 oz sweetened,juice
New York Lemonade,4,club soda,1 oz,other
New York Sour,1,blended whiskey,2 oz,other
New York Sour,2,lemon,Juice of 1/2,other
New York Sour,3,sugar,1 tsp,other
New York Sour,4,red wine,"(Claret)
",other
New York Sour,5,lemon,"
",other
New York Sour,6,cherry,"
",other
Nuked Hot Chocolate,1,cocoa powder,2 tsp,other
Nuked Hot Chocolate,2,sugar,1 tsp,other
Nuked Hot Chocolate,3,vanilla extract,1/2 tsp,other
Nuked Hot Chocolate,4,milk,12 oz,other
Nutty Irishman,1,irish cream,1 part,cream
Nutty Irishman,2,frangelico,1 part,other
Nutty Irishman,3,milk,1 part,other
Old Fashioned,1,bourbon,4.5 cL,other
Old Fashioned,2,angostura bitters,2 dashes,other
Old Fashioned,3,sugar,1 cube,other
Old Fashioned,4,water,dash,other
Orange Crush,1,vodka,1 oz,vodka
Orange Crush,2,triple sec,1 oz,other
Orange Crush,3,orange juice,1 oz,juice
Orange Oasis,1,cherry brandy,1/2 oz,brandy
Orange Oasis,2,gin,1 1/2 oz,other
Orange Oasis,3,orange juice,4 oz,juice
Orange Oasis,4,ginger ale,"
",other
Orange Push-up,1,spiced rum,1.5 oz,rum
Orange Push-up,2,grenadine,0.5 oz,other
Orange Push-up,3,orange juice,4 oz,juice
Orange Push-up,4,sour mix,1 splash,other
Orange Scented Hot Chocolate,1,milk,2 cups,other
Orange Scented Hot Chocolate,2,chocolate,4 oz chopped bittersweet or semi-sweet,chocolate
Orange Scented Hot Chocolate,3,orange peel,3 2-inch strips,other
Orange Scented Hot Chocolate,4,espresso,1/2 tsp instant,other
Orange Scented Hot Chocolate,5,nutmeg,1/8 tsp ground,other
Orange Whip,1,orange juice,4 oz,juice
Orange Whip,2,rum,1 oz,rum
Orange Whip,3,vodka,1 oz,vodka
Orange Whip,4,cream,1 package,cream
Orange Whip,5,ice,Over,other
Orangeade,1,lemon juice,5 cl,juice
Orangeade,2,orange juice,15 cl,juice
Orangeade,3,sugar syrup,2-3 cl,syrup
Orangeade,4,soda water,"
",other
Oreo Mudslide,1,vodka,1 oz,vodka
Oreo Mudslide,2,kahlua,1 oz,other
Oreo Mudslide,3,irish cream,1 oz,cream
Oreo Mudslide,4,vanilla ice-cream,2 scoops,other
Oreo Mudslide,5,oreo cookie,1,other
Orgasm,1,creme de cacao,1/2 oz white,other
Orgasm,2,amaretto,1/2 oz,other
Orgasm,3,triple sec,1/2 oz,other
Orgasm,4,vodka,1/2 oz,vodka
Orgasm,5,light cream,1 oz,cream
Owen's Grandmother's Revenge,1,whiskey,12 oz,other
Owen's Grandmother's Revenge,2,beer,12 oz,other
Owen's Grandmother's Revenge,3,lemonade,12 oz frozen,other
Owen's Grandmother's Revenge,4,ice,1 cup crushed,other
Paradise,1,gin,7 parts,other
Paradise,2,apricot brandy,4 parts,brandy
Paradise,3,orange juice,3 parts,juice
Pina Colada,1,light rum,3 oz,rum
Pina Colada,2,coconut milk,3 tblsp,other
Pina Colada,3,pineapple,3 tblsp,other
Pineapple Gingerale Smoothie,1,ginger,1/4 inch,other
Pineapple Gingerale Smoothie,2,pineapple,1/2,other
Pink Gin,1,bitters,3 dashes,other
Pink Gin,2,gin,2 oz,other
Pink Lady,1,gin,1 1/2 oz,other
Pink Lady,2,grenadine,1 tsp,other
Pink Lady,3,light cream,1 tsp,cream
Pink Lady,4,egg white,1,other
Pink Panty Pulldowns,1,sprite,1 L,other
Pink Panty Pulldowns,2,pink lemonade,2 cups,other
Pink Panty Pulldowns,3,vodka,2 cups,vodka
Pink Penocha,1,everclear,750 ml,other
Pink Penocha,2,vodka,1750 ml,vodka
Pink Penocha,3,peach schnapps,1750 ml,schnapps
Pink Penocha,4,orange juice,1 gal,juice
Pink Penocha,5,cranberry juice,1 gal,juice
Pisco Sour,1,pisco,2 oz,other
Pisco Sour,2,lemon juice,1 oz,juice
Pisco Sour,3,sugar,1-2 tblsp,other
Planter's Punch,1,dark rum,1 part,rum
Planter's Punch,2,orgeat syrup,1/2 part,syrup
Planter's Punch,3,orange juice,2 parts,juice
Planter's Punch,4,pineapple juice,1 part,juice
Popped cherry,1,vodka,2 oz,vodka
Popped cherry,2,cherry liqueur,2 oz,liqueur
Popped cherry,3,cranberry juice,4 oz,juice
Popped cherry,4,orange juice,4 oz,juice
Poppy Cocktail,1,gin,1 1/2 oz,other
Poppy Cocktail,2,creme de cacao,3/4 oz white,other
Port And Starboard,1,grenadine,1 tblsp,other
Port And Starboard,2,green creme de menthe,1/2 oz,other
Port Wine Cocktail,1,port,2 1/2 oz,other
Port Wine Cocktail,2,brandy,1/2 tsp,brandy
Port Wine Flip,1,port,1 1/2 oz,other
Port Wine Flip,2,light cream,2 tsp,cream
Port Wine Flip,3,powdered sugar,1 tsp,other
Port Wine Flip,4,egg,1 whole,other
Port Wine Flip,5,nutmeg,"
",other
Porto flip,1,brandy,3 parts,brandy
Porto flip,2,port,9 parts,other
Porto flip,3,egg yolk,2 parts,other
Pysch Vitamin Light,1,orange juice,1 part,juice
Pysch Vitamin Light,2,apple juice,1 part,juice
Pysch Vitamin Light,3,pineapple juice,1 part,juice
Pysch Vitamin Light,4,ice,"
",other
Quaker's Cocktail,1,light rum,3/4 oz,rum
Quaker's Cocktail,2,brandy,3/4 oz,brandy
Quaker's Cocktail,3,lemon,Juice of 1/4,other
Quaker's Cocktail,4,raspberry syrup,2 tsp,syrup
Quarter Deck Cocktail,1,light rum,1 1/2,rum
Quarter Deck Cocktail,2,sherry,1/3 oz cream,other
Quarter Deck Cocktail,3,lime,Juice of 1/2,other
Queen Bee,1,coffee brandy,1 oz,brandy
Queen Bee,2,lime vodka,1 1/2 oz,vodka
Queen Bee,3,sherry,1/2 oz cream,other
Queen Charlotte,1,red wine,2 oz,other
Queen Charlotte,2,grenadine,1 oz,other
Queen Charlotte,3,lemon-lime soda,"
",other
Queen Elizabeth,1,dry vermouth,1/2 oz,other
Queen Elizabeth,2,gin,1 1/2 oz,other
Queen Elizabeth,3,benedictine,1 1/2 tsp,other
Quentin,1,dark rum,1 1/2 oz,rum
Quentin,2,kahlua,1/2 oz,other
Quentin,3,light cream,1 oz,cream
Quentin,4,nutmeg,1/8 tsp grated,other
Quick F**K,1,kahlua,1 part,other
Quick F**K,2,melon liqueur,1 part,liqueur
Quick F**K,3,irish cream,1 part,cream
Quick-sand,1,black sambuca,25 ml,other
Quick-sand,2,orange juice,Add 250 ml,juice
Radioactive Long Island Iced Tea,1,rum,1 oz,rum
Radioactive Long Island Iced Tea,2,vodka,1 oz,vodka
Radioactive Long Island Iced Tea,3,tequila,1 oz,other
Radioactive Long Island Iced Tea,4,gin,1 oz,other
Radioactive Long Island Iced Tea,5,triple sec,1 oz,other
Radioactive Long Island Iced Tea,6,raspberry liqueur,1 oz,liqueur
Radioactive Long Island Iced Tea,7,melon liqueur,1 oz,liqueur
Radioactive Long Island Iced Tea,8,malibu rum,1 oz,rum
Radler,1,beer,12 oz,other
Radler,2,7-up,12 oz,other
Rail Splitter,1,sugar syrup,2 tsp,syrup
Rail Splitter,2,lemon juice,"
",juice
Raspberry Cooler,1,raspberry vodka,2 oz,vodka
Raspberry Cooler,2,lemon-lime soda,4 oz,other
Raspberry Cooler,3,ice,"
",other
Red Snapper,1,crown royal,1 shot,other
Red Snapper,2,amaretto,1 shot,other
Red Snapper,3,cranberry juice,1 shot,juice
Rose,1,dry vermouth,1/2 oz,other
Rose,2,gin,1 oz,other
Rose,3,apricot brandy,1/2 oz,brandy
Rose,4,lemon juice,1/2 tsp,juice
Rose,5,grenadine,1 tsp,other
Royal Bitch,1,frangelico,1 part,other
Royal Bitch,2,crown royal,1 part,other
Royal Fizz,1,gin,1 oz,other
Royal Fizz,2,sweet and sour,2 oz,other
Royal Fizz,3,egg,1 whole,other
Royal Fizz,4,coca-cola,"
",other
Royal Flush,1,crown royal,1 1/2 oz,other
Royal Flush,2,peach schnapps,1 oz,schnapps
Royal Flush,3,raspberry liqueur,1/2 oz,liqueur
Royal Flush,4,cranberry juice,1 oz,juice
Royal Gin Fizz,1,gin,2 oz,other
Royal Gin Fizz,2,lemon,Juice of 1/2,other
Royal Gin Fizz,3,powdered sugar,1 tsp,other
Royal Gin Fizz,4,egg,1 whole,other
Royal Gin Fizz,5,carbonated water,"
",other
Ruby Tuesday,1,gin,2 oz,other
Ruby Tuesday,2,cranberry juice,5 oz,juice
Ruby Tuesday,3,grenadine,2 splashes,other
Rum Cobbler,1,sugar,1 tsp superfine,other
Rum Cobbler,2,club soda,3 oz,other
Rum Cobbler,3,lemon,1,other
Rum Cobbler,4,dark rum,2 oz,rum
Rum Cobbler,5,maraschino cherry,1,other
Rum Cobbler,6,orange,1,other
Rum Cooler,1,rum,2 oz light or dark,rum
Rum Cooler,2,lemon-lime soda,4 oz,other
Rum Cooler,3,lemon,1,other
Rum Milk Punch,1,light rum,2 oz,rum
Rum Milk Punch,2,milk,1 cup,other
Rum Milk Punch,3,powdered sugar,1 tsp,other
Rum Milk Punch,4,nutmeg,"
",other
Rum Old-fashioned,1,light rum,1 1/2 oz,rum
Rum Old-fashioned,2,151 proof rum,1 tsp,rum
Rum Old-fashioned,3,powdered sugar,1/2 tsp,other
Rum Old-fashioned,4,bitters,1 dash,other
Rum Old-fashioned,5,water,1 tsp,other
Rum Old-fashioned,6,lime peel,Twist of,other
Rum Punch,1,rum,mikey bottle,rum
Rum Punch,2,ginger ale,large bottle,other
Rum Punch,3,fruit punch,355 ml frozen,other
Rum Punch,4,orange juice,355 ml frozen,juice
Rum Punch,5,ice,crushed,other
Rum Runner,1,malibu rum,1 1/2 oz,rum
Rum Runner,2,blackberry brandy,1 oz,brandy
Rum Runner,3,orange juice,3-4 oz,juice
Rum Runner,4,pineapple juice,3-4 oz,juice
Rum Runner,5,cranberry juice,3-4 oz,juice
Rum Screwdriver,1,light rum,1 1/2 oz,rum
Rum Screwdriver,2,orange juice,5 oz,juice
Rum Sour,1,light rum,2 oz,rum
Rum Sour,2,lemon juice,1 oz,juice
Rum Sour,3,sugar,1/2 tsp superfine,other
Rum Sour,4,orange,1,other
Rum Sour,5,maraschino cherry,1,other
Rum Toddy,1,rum,2 oz light or dark,rum
Rum Toddy,2,powdered sugar,2 tsp,other
Rum Toddy,3,lemon peel,1 twist of,other
