drink,ingredient_number,ingredient,measure,category
Addington,3,soda water,"Top up with
",other
Addison,1,gin,1 1/2 shot,other
Addison,2,vermouth,1 1/2 shot,other
Addison Special,1,vodka,1 shot,vodka
Addison Special,2,grenadine,1 tblsp,other
Addison Special,3,orange juice,Fill with,juice
Adios Amigos Cocktail,1,rum,1 shot,rum
Adios Amigos Cocktail,2,dry vermouth,1/2 shot,other
Adios Amigos Cocktail,3,cognac,1/2 shot,other
Adios Amigos Cocktail,4,gin,1/2 shot,other
Adios Amigos Cocktail,5,lime juice,1/4 shot,juice
Adios Amigos Cocktail,6,sugar syrup,1/4 shot,syrup
Adios Amigos Cocktail,7,water,1/2 shot,other
Adonis Cocktail,1,sweet vermouth,3/4 oz,other
Adonis Cocktail,2,sherry,1 1/2 oz dry,other
Adonis Cocktail,3,orange bitters,1 dash,other
Affair,1,strawberry schnapps,2 oz,schnapps
Affair,2,orange juice,2 oz,juice
Affair,3,cranberry juice,2 oz,juice
Affair,4,club soda,"
",other
Affinity,1,scotch,1 1/2 oz,other
Affinity,2,sweet vermouth,1 oz,other
Affinity,3,dry vermouth,1 oz,other
Affinity,4,orange bitters,2 dashes,other
After Dinner Cocktail,1,apricot brandy,1 oz,brandy
After Dinner Cocktail,2,triple sec,1 oz,other
After Dinner Cocktail,3,lime,Juice of 1,other
After Dinner Cocktail,4,lime,1,other
After Five,1,peppermint schnapps,"
",schnapps
After Five,2,kahlua,"
",other
After Five,3,irish cream,"
",cream
After Supper Cocktail,1,triple sec,1 oz,other
After Supper Cocktail,2,apricot brandy,1 oz,brandy
After Supper Cocktail,3,lemon juice,1/2 tsp,juice
After sex,1,vodka,2 cl,vodka
After sex,2,creme de banane,1 cl,other
After sex,3,orange juice,"
",juice
Afterglow,1,grenadine,1 part,other
Afterglow,2,orange juice,4 parts,juice
Afterglow,3,pineapple juice,4 parts,juice
Afternoon,1,kahlua,1 cl,other
Afternoon,2,irish cream,1 cl,cream
Afternoon,3,frangelico,1 1/2,other
Afternoon,4,coffee,4 cl hot,other
Afternoon,5,cream,"
",cream
Alabama Slammer,1,southern comfort,1 oz,other
Alabama Slammer,2,amaretto,1 oz,other
Alabama Slammer,3,sloe gin,1/2 oz,other
Alabama Slammer,4,lemon juice,1 dash,juice
Alaska Cocktail,1,orange bitters,2 dashes,other
Alaska Cocktail,2,gin,1 1/2 oz,other
Alaska Cocktail,3,yellow chartreuse,3/4 oz,other
Alaska Cocktail,4,lemon peel,Twist of,other
Alexander,1,gin,1/2 oz,other
Alexander,2,creme de cacao,1/2 oz white,other
Alexander,3,light cream,2 oz,cream
Alfie Cocktail,1,lemon vodka,1 1/2 oz,vodka
Alfie Cocktail,2,triple sec,1 dash,other
Alfie Cocktail,3,pineapple juice,1 tblsp,juice
Algonquin,1,blended whiskey,1 1/2 oz,other
Algonquin,2,dry vermouth,1 oz,other
Algonquin,3,pineapple juice,1 oz,juice
Alice Cocktail,1,grenadine,1 cl,other
Alice Cocktail,2,orange juice,1 cl,juice
Alice Cocktail,3,pineapple juice,2 cl,juice
Alice Cocktail,4,cream,4 cl,cream
Alice in Wonderland,1,amaretto,1 shot,other
Alice in Wonderland,2,grand marnier,1 shot,other
Alice in Wonderland,3,southern comfort,1 shot,other
Allegheny,1,dry vermouth,1 oz,other
Allegheny,2,bourbon,1 oz,other
Allegheny,3,blackberry brandy,1 1/2 tsp,brandy
Allegheny,4,lemon juice,1 1/2 tsp,juice
Allegheny,5,lemon peel,1 twist of,other
Allies Cocktail,1,dry vermouth,1 oz,other
Allies Cocktail,2,gin,1 oz,other
Allies Cocktail,3,kummel,1/2 tsp,other
Almeria,1,dark rum,2 oz,rum
Almeria,2,kahlua,1 oz,other
Almeria,3,egg white,1,other
Almond Chocolate Coffee,1,amaretto,3/4 oz,other
Almond Chocolate Coffee,2,dark creme de cacao,1/2 oz,other
Almond Chocolate Coffee,3,coffee,8 oz,other
Almond Joy,1,amaretto,1/2 oz,other
Almond Joy,2,creme de cacao,1/2 oz white,other
Almond Joy,3,light cream,2 oz,cream
Aloha Fruit punch,1,water,3/4 cup,other
Aloha Fruit punch,2,ginger,2 tsp,other
Aloha Fruit punch,3,guava juice,2 cups,juice
Aloha Fruit punch,4,lemon juice,1 1/2 tblsp,juice
Aloha Fruit punch,5,pineapple,1 1/2 cup,other
Aloha Fruit punch,6,sugar,1 cup,other
Aloha Fruit punch,7,pineapple juice,3-4 cups,juice
Amaretto And Cream,1,amaretto,1 1/2 oz,other
Amaretto And Cream,2,light cream,1 1/2 oz,cream
Amaretto Liqueur,1,sugar,1 cup,other
Amaretto Liqueur,10,food coloring,2 drops blue,other
Amaretto Liqueur,11,glycerine,1/2 tsp,other
Amaretto Liqueur,2,water,3/4 cup,other
Amaretto Liqueur,3,apricot,2,other
Amaretto Liqueur,4,almond flavoring,1 tblsp,other
Amaretto Liqueur,5,grain alcohol,1/2 cup pure,other
Amaretto Liqueur,6,water,1/2 cup,other
Amaretto Liqueur,7,brandy,1 cup,brandy
Amaretto Liqueur,8,food coloring,3 drops yellow,other
Amaretto Liqueur,9,food coloring,6 drops red,other
Amaretto Mist,1,amaretto,1 1/2 oz,other
Amaretto Mist,2,lime,1,other
Amaretto Rose,1,amaretto,1 1/2 oz,other
Amaretto Rose,2,lime juice,1/2 oz,juice
Amaretto Rose,3,club soda,"
",other
Amaretto Shake,1,chocolate ice-cream,2 scoops,chocolate
Amaretto Shake,2,brandy,2 oz,brandy
Amaretto Shake,3,amaretto,2 oz,other
Amaretto Sour,1,amaretto,1 1/2 oz,other
Amaretto Sour,2,sour mix,3 oz,other
Amaretto Stinger,1,amaretto,1 1/2 oz,other
Amaretto Stinger,2,white creme de menthe,3/4 oz,other
Amaretto Stone Sour,1,amaretto,1 part,other
Amaretto Stone Sour,2,sour mix,1 part,other
Amaretto Stone Sour,3,orange juice,1 part,juice
Amaretto Stone Sour #3,1,sour mix,2 oz,other
Amaretto Stone Sour #3,2,amaretto,2 oz,other
Amaretto Stone Sour #3,3,tequila,2 oz,other
Amaretto Stone Sour #3,4,orange juice,Add splash,juice
Amaretto Sunrise,1,amaretto,1 cl,other
Amaretto Sunrise,2,orange juice,4 oz,juice
Amaretto Sunrise,3,grenadine,1/4 cl,other
Amaretto Sunset,1,triple sec,1/2 jigger,other
Amaretto Sunset,2,amaretto,3 shots,other
Amaretto Sunset,3,cider,1/2 cup,other
Amaretto Sunset,4,ice,Add 1/2 cup,other
Amaretto Sweet & Sour,1,amaretto,"
",other
Amaretto Sweet & Sour,2,sweet and sour,"
",other
Amaretto Tea,1,tea,6 oz hot,other
Amaretto Tea,2,amaretto,2 oz,other
Amaretto Tea,3,whipped cream,Chilled,cream
Americano,1,campari,1 oz,other
Americano,2,sweet vermouth,1 oz red,other
Americano,3,lemon peel,Twist of,other
Americano,4,orange peel,Twist of,other
Angel Face,1,apricot brandy,1/2 oz,brandy
Angel Face,2,apple brandy,1/2 oz,brandy
Angel Face,3,gin,1 oz,other
Angelica Liqueur,1,angelica root,3 tblsp chopped,other
Angelica Liqueur,10,water,1/4 cup,other
Angelica Liqueur,11,food coloring,1 drop yellow,other
Angelica Liqueur,12,food coloring,1 drop green,other
Angelica Liqueur,2,almond,1 tblsp chopped,other
Angelica Liqueur,3,allspice,1 cracked,other
Angelica Liqueur,4,cinnamon,1 one-inch,other
Angelica Liqueur,5,anise,3-6 crushed,other
Angelica Liqueur,6,coriander,1/8 tsp powdered,other
