i,ingredient,drink,performance
158,condensed milk,Thai Iced Tea,419
159,dark creme de cacao,151 Florida Bushwacker,421
159,dark creme de cacao,Almond Chocolate Coffee,421
160,fruit punch,Downshift,423
160,fruit punch,Rum Punch,423
161,tomato juice,Vampiro,424
162,celery salt,Bloody Maria,426
162,celery salt,Tomato Tang,426
163,bacardi limon,Citrus Coke,427
164,corona,Buccaneer,430
164,corona,Caribbean Boilermaker,430
164,corona,Limona Corona,430
165,cachaca,Caipirinha,431
166,agave syrup,Girl From Ipanema,433
166,agave syrup,Tommy's Margarita,433
167,cardamom,Thai Iced Coffee,434
168,advocaat,Snowball,435
169,añejo rum,A Night In Old Mandalay,436
170,tia maria,Blue Mountain,438
170,tia maria,Lord And Lady,438
171,apple cider,Apple Grande,439
172,banana liqueur,Bubble Gum,440
173,cream of coconut,Whitecap Margarita,441
174,grape juice,Victory Collins,442
175,hot damn,Herbal flame,443
176,whiskey,Damned if you do,445
176,whiskey,Owen's Grandmother's Revenge,445
177,jim beam,Shot-gun,446
178,peach vodka,410 Gone,447
179,pisang ambon,Avalon,448
180,bitter lemon,Absolut Evergreen,449
181,vanilla,Drinking Chocolate,450
182,yellow chartreuse,Alaska Cocktail,451
183,schweppes russchian,Vodka Russian,452
184,grain alcohol,Karsk,453
185,johnnie walker,3 Wise Men,454
186,pisco,Pisco Sour,455
187,almond flavoring,Cranberry Punch,456
188,allspice,Apple Cider Punch #1,457
189,coriander,Thai Coffee,458
190,absinthe,Moranguito,459
191,ale,Black & Tan,460
192,aperol,Imperial Cocktail,461
193,apple schnapps,Apple Slammer,462
194,aquavit,Swedish Coffee,463
195,asafoetida,Lassi Khara,464
196,black pepper,Masala Chai,465
197,black sambuca,Quick-sand,466
198,blackcurrant cordial,Diesel,467
199,blackcurrant squash,Snakebite and Black,468
200,blueberry schnapps,501 Blue,469
201,cantaloupe,Banana Cantaloupe Smoothie,470
202,caramel coloring,Coffee-Vodka,471
203,carbonated soft drink,Holloween Punch,472
204,carrot,Apple Karate,473
205,cayenne pepper,Lemouroudji,474
206,cherry grenadine,Cherry Electric Lemonade,475
207,cherry heering,Darkwood Sling,476
208,cherry liqueur,Popped cherry,477
209,chocolate liqueur,Chocolate Milk,478
210,chocolate milk,Chocolate Monkey,479
211,coconut milk,Pina Colada,480
212,coconut rum,A Day at the Beach,481
213,corn syrup,Homemade Kahlua,482
214,cornstarch,Castillian Hot Chocolate,483
215,cranberries,Cranberry Cordial,484
216,creme de mure,Bramble,485
217,cumin seed,Lassi - A South Indian Drink,486
218,curacao,Scotch Cobbler,487
219,demerara sugar,Dark Caipirinha,488
220,dr. pepper,Flaming Dr. Pepper,489
221,dubonnet rouge,Dubonnet Cocktail,490
222,erin cream,Brainteaser,491
223,fresca,Sweet Sangria,492
224,fruit juice,Fruit Flip-Flop,493
225,gold tequila,Arizona Twister,494
226,grapes,Grape lemon pineapple Smoothie,495
227,green chartreuse,Jewel Of The Nile,496
228,guava juice,Aloha Fruit punch,497
229,hot chocolate,A.D.M. (After Dinner Mint),498
230,jello,Jello shots,499
231,kiwi liqueur,Kiwi Lemon,500
232,kummel,Allies Cocktail,501
233,lemon vodka,Alfie Cocktail,502
234,lillet blanc,Vesper,503
235,lime juice cordial,Army special,504
